date,ind,rain,ind,temp,ind,wetb,dewpt,vappr,rhum,msl
1/2/13 10:00,0,0,0,10.5,0,9.9,9.3,11.7,92,1019.4
1/2/13 11:00,0,0,0,11.2,0,10.4,9.6,12,90,1019.8
1/2/13 12:00,0,0,0,11.2,0,10.6,10,12.3,92,1020.6
1/2/13 13:00,0,0,0,11.3,0,10.7,10.2,12.4,93,1020.7
1/2/13 14:00,0,0,0,11.9,0,10.9,10,12.3,88,1020.5
1/2/13 15:00,0,0,0,12.2,0,11.1,10.1,12.3,87,1020.8
1/2/13 16:00,0,0,0,11.9,0,10.9,9.9,12.2,87,1022.1
1/2/13 17:00,0,0,0,11.7,0,10.8,9.8,12.1,88,1022.5
1/2/13 18:00,0,0,0,11.8,0,10.8,9.8,12.1,87,1023
1/2/13 19:00,0,0,0,11.8,0,10.9,10,12.3,88,1023.4
1/2/13 20:00,0,0,0,11.6,0,10.6,9.6,12,87,1023.4
1/2/13 21:00,0,0,0,11.5,0,10.5,9.6,12,88,1024
1/2/13 22:00,0,0,0,11.4,0,10.5,9.6,12,88,1024.5
1/2/13 23:00,0,0,0,11.6,0,10.6,9.6,12,88,1025.2
1/3/13 00:00,0,0,0,11.5,0,10.5,9.6,11.9,88,1025.8
1/3/13 01:00,0,0,0,11.3,0,10.4,9.6,11.9,89,1025.8
1/3/13 02:00,0,0,0,11.3,0,10.5,9.6,12,89,1026.6
1/3/13 03:00,0,0,0,11.3,0,10.5,9.8,12.1,90,1027.2
1/3/13 04:00,0,0,0,11.3,0,10.6,10,12.2,91,1027.7
1/3/13 05:00,0,0,0,11.2,0,10.6,9.9,12.2,91,1027.8
1/3/13 06:00,0,0,0,11.1,0,10.6,10,12.3,92,1028.1
1/3/13 07:00,0,0,0,11.2,0,10.5,9.8,12.1,91,1028.9
1/3/13 08:00,0,0,0,11.3,0,10.6,9.8,12.1,90,1029.6
1/3/13 09:00,0,0,0,11.1,0,10.7,10.2,12.4,93,1030.1
1/3/13 10:00,0,0,0,11.6,0,10.8,10.1,12.3,90,1030.1
1/3/13 11:00,0,0,0,12.4,0,11.1,9.9,12.2,85,1030
1/3/13 12:00,0,0,0,12.8,0,11.3,9.8,12.1,81,1030.2
1/3/13 13:00,0,0,0,12.6,0,11.2,9.8,12.1,83,1030.2
1/3/13 14:00,0,0,0,12.6,0,11.1,9.8,12.1,83,1030.3
1/3/13 15:00,0,0,0,12,0,10.7,9.4,11.8,84,1030.4
1/3/13 16:00,0,0,0,11.5,0,10.4,9.3,11.7,86,1031.4
1/3/13 17:00,0,0,0,11.7,0,10.5,9.4,11.8,86,1032.3
1/3/13 18:00,0,0,0,11.4,0,10.3,9.2,11.7,86,1032.4
1/3/13 19:00,0,0,0,11.4,0,10.3,9.2,11.6,86,1033
1/3/13 20:00,0,0,0,10.7,0,9.6,8.5,11.1,86,1033.1
1/3/13 21:00,0,0,0,11.1,0,9.8,8.4,11,83,1033.5
1/3/13 22:00,0,0,0,11,0,9.7,8.3,10.9,83,1033.7
1/3/13 23:00,0,0,0,10.8,0,9.5,8.2,10.9,83,1033.9
1/4/13 00:00,0,0,0,10.5,0,9.4,8.2,10.8,85,1034.3
1/4/13 01:00,0,0,0,10.5,0,9.4,8.1,10.8,85,1034.4
1/4/13 02:00,0,0,0,10.6,0,9.4,8.1,10.8,85,1034.6
1/4/13 03:00,0,0,0,10.3,0,9.3,8.2,10.9,86,1034.9
1/4/13 04:00,0,0,0,10.3,0,9,7.5,10.4,82,1034.8
1/4/13 05:00,0,0,0,9.9,0,8.4,6.6,9.7,79,1034.6
1/4/13 06:00,0,0,0,7.9,0,7,5.9,9.3,87,1034.6
1/4/13 07:00,0,0,0,8.2,0,7.1,5.7,9.1,83,1034.7
1/4/13 08:00,0,0,0,9.1,0,7.8,6.4,9.6,83,1034.8
1/4/13 09:00,0,0,0,9.2,0,8,6.6,9.8,84,1035
1/4/13 10:00,0,0,0,9.8,0,8.5,7,10,83,1035.2
1/4/13 11:00,0,0,0,10.7,0,8.8,6.6,9.8,76,1035.1
1/4/13 12:00,0,0,0,10.2,0,8.6,6.8,9.9,79,1035
1/4/13 13:00,0,0,0,10.5,0,8.8,7,10,78,1034.8
1/4/13 14:00,0,0,0,10.5,0,8.8,6.9,9.9,78,1034.6
1/4/13 15:00,0,0,0,10.2,0,8.7,7.1,10.1,81,1034.2
1/4/13 16:00,0,0,0,10.4,0,8.9,7.2,10.1,80,1033.7
1/4/13 17:00,0,0,0,10.6,0,8.9,7,10,78,1032.9
1/4/13 18:00,0,0,0,10.3,0,8.7,6.8,9.9,78,1032.3
1/4/13 19:00,0,0,0,9.3,0,7.9,6.2,9.5,80,1032.6
1/4/13 20:00,0,0,0,7.1,0,6.3,5.2,8.9,87,1032.4
1/4/13 21:00,0,0,0,7,0,6.2,5.2,8.8,88,1032
1/4/13 22:00,0,0,0,5.7,0,5.2,4.6,8.5,92,1031.8
1/4/13 23:00,0,0,0,5.5,0,5,4.4,8.4,92,1031.5
1/5/13 00:00,0,0,0,5,0,4.6,3.9,8.1,93,1031.6
1/5/13 01:00,0,0,0,4.4,0,4.1,3.5,7.9,93,1031.1
1/5/13 02:00,0,0,0,4.6,0,4.2,3.6,7.9,93,1031.4
1/5/13 03:00,0,0,0,4.9,0,4.5,4,8.1,94,1031.1
1/5/13 04:00,0,0,0,8,0,7.3,6.4,9.6,89,1030.8
1/5/13 05:00,0,0,0,8.8,0,7.3,5.6,9.1,80,1030.6
1/5/13 06:00,0,0,0,9,0,7.4,5.5,9,78,1030.5
1/5/13 07:00,0,0,0,9.5,0,7.8,5.8,9.2,77,1030.3
1/5/13 08:00,0,0,0,10.2,0,8.4,6.3,9.5,76,1030
1/5/13 09:00,0,0,0,10.3,0,8.6,6.8,9.9,79,1030
1/5/13 10:00,0,0,0,10.6,0,8.9,7,10,78,1030.1
1/5/13 11:00,0,0,0,11.2,0,9.3,7.2,10.1,76,1030
1/5/13 12:00,0,0,0,11.2,0,9.5,7.6,10.4,78,1029.7
1/5/13 13:00,0,0,0,11.3,0,9.6,7.8,10.6,79,1028.5
1/5/13 14:00,0,0,0,11.3,0,9.5,7.5,10.4,77,1028.5
1/5/13 15:00,0,0,0,11.6,0,9.7,7.7,10.5,76,1028.4
1/5/13 16:00,0,0,0,11.6,0,9.9,8.2,10.8,79,1028.5
1/5/13 17:00,0,0,0,11.7,0,10.1,8.6,11.2,81,1029.2
1/5/13 18:00,0,0,0,11.4,0,10.1,8.8,11.3,84,1029.3
1/5/13 19:00,0,0,0,10.8,0,9.7,8.5,11.1,85,1030.2
1/5/13 20:00,0,0,0,10.2,0,9.3,8.4,11,88,1030.8
1/5/13 21:00,0,0,0,9.4,0,8.6,7.7,10.5,89,1030.2
1/5/13 22:00,0,0,0,9.4,0,8.7,8,10.7,91,1030.7
1/5/13 23:00,0,0,0,8.6,0,7.9,7.2,10.1,91,1030.9
1/6/13 00:00,0,0,0,7.3,0,6.8,6.2,9.5,93,1031.5
1/6/13 01:00,0,0,0,6,0,5.5,4.9,8.6,92,1030.9
1/6/13 02:00,0,0,0,4.8,0,4.4,3.7,8,92,1030.2
1/6/13 03:00,0,0,0,5.2,0,4.9,4.5,8.4,95,1030.1
1/6/13 04:00,0,0,0,5,0,4.7,4.2,8.3,94,1029.9
1/6/13 05:00,0,0,0,5.4,0,5,4.4,8.4,93,1028.6
1/6/13 06:00,0,0,0,7,0,6.5,5.9,9.3,92,1028.3
1/6/13 07:00,0,0,0,8.6,0,8.1,7.4,10.3,92,1027.9
1/6/13 08:00,0,0,0,10,0,9,8,10.7,87,1028
1/6/13 09:00,0,0,0,8.9,0,8,6.8,9.9,86,1028
1/6/13 10:00,0,0,0,9.4,0,8,6.3,9.6,81,1027.3
1/6/13 11:00,0,0,0,9.5,0,7.8,5.8,9.2,77,1027
1/6/13 12:00,0,0,0,10,0,7.8,5.2,8.9,72,1026.6
1/6/13 13:00,0,0,0,11,0,7.7,3.6,7.9,60,1025.7
1/6/13 14:00,0,0,0,10.7,0,8.4,5.6,9.1,70,1025.2
1/6/13 15:00,0,0,0,11.2,0,9,6.6,9.7,73,1024.8
1/6/13 16:00,0,0,0,11,0,9.1,7,10,76,1024.4
1/6/13 17:00,0,0,0,10.6,0,8.8,6.9,9.9,77,1024.3
1/6/13 18:00,0,0,0,10.4,0,8.8,6.9,9.9,78,1024.1
1/6/13 19:00,0,0,0,10.4,0,8.8,7.1,10.1,79,1024.1
1/6/13 20:00,0,0,0,10.8,0,9,7.1,10.1,78,1023.9
1/6/13 21:00,0,0,0,10.5,0,9,7.4,10.3,81,1024
1/6/13 22:00,0,0.1,0,10.2,0,8.7,7,10,80,1023.8
1/6/13 23:00,0,0,0,9.9,0,8.4,6.6,9.7,79,1023.6
1/7/13 00:00,0,0,0,10.4,0,8.6,6.5,9.7,77,1023.2
1/7/13 01:00,0,0,0,10.5,0,8.6,6.5,9.7,76,1022.8
1/7/13 02:00,0,0.1,0,10.1,0,8.6,7,10,81,1022.7
1/7/13 03:00,0,0.5,0,9.2,0,8.3,7.3,10.2,87,1022
1/7/13 04:00,0,0.1,0,8.8,0,8.1,7.3,10.2,90,1021.4
1/7/13 05:00,0,0,0,8.8,0,8,7.1,10.1,89,1020.5
1/7/13 06:00,0,0.1,0,8.7,0,8,7.3,10.2,90,1020
1/7/13 07:00,0,0,0,8.7,0,8.1,7.4,10.3,91,1019.3
1/7/13 08:00,0,0.1,0,9.3,0,8.7,8.1,10.8,92,1019.2
1/7/13 09:00,0,0.3,0,10.7,0,9.7,8.6,11.2,87,1018.9
1/7/13 10:00,0,0,0,11.1,0,9.9,8.8,11.3,85,1018.9
1/7/13 11:00,0,0.1,0,11.2,0,10,8.8,11.3,84,1018.6
1/7/13 12:00,0,0.1,0,11.5,0,10.3,9,11.5,84,1018.2
1/7/13 13:00,0,0,0,12,0,10.5,9,11.5,82,1017.9
1/7/13 14:00,0,0.1,0,11.5,0,10.3,9,11.5,84,1017.7
1/7/13 15:00,0,0,0,11.6,0,10.2,8.9,11.4,83,1017.6
1/7/13 16:00,0,0.2,0,11.5,0,10.2,9,11.5,84,1017.3
1/7/13 17:00,0,0,0,11.6,0,10.3,9,11.5,84,1017.3
1/7/13 18:00,0,0,0,11.6,0,10.3,9,11.5,84,1017.3
1/7/13 19:00,0,0,0,11.6,0,10.3,9,11.5,83,1017.4
1/7/13 20:00,0,0,0,11.5,0,10.3,9,11.5,84,1017.5
1/7/13 21:00,0,0,0,11.7,0,10.3,8.9,11.4,82,1017.4
1/7/13 22:00,0,0,0,11.5,0,10.2,8.9,11.4,84,1017
1/7/13 23:00,0,0,0,11.4,0,10.1,8.8,11.3,84,1016.8
1/8/13 00:00,0,0,0,11.5,0,10.1,8.6,11.2,82,1017
1/8/13 01:00,0,0,0,12,0,10.5,9.1,11.5,82,1016.6
1/8/13 02:00,0,0,0,12.1,0,10.7,9.4,11.8,83,1016.7
1/8/13 03:00,0,0,0,12.1,0,10.7,9.4,11.8,83,1016.7
1/8/13 04:00,0,0,0,11.9,0,10.6,9.3,11.7,84,1016.1
1/8/13 05:00,0,0,0,11.9,0,10.6,9.3,11.7,84,1016.4
1/8/13 06:00,0,0,0,12.2,0,10.9,9.5,11.9,83,1016.8
1/8/13 07:00,0,0,0,11.9,0,10.8,9.7,12,86,1017.2
1/8/13 08:00,0,0.3,0,11.2,0,10.4,9.7,12,90,1018.4
1/8/13 09:00,0,0.4,0,9.6,0,8.8,7.8,10.6,88,1019.8
1/8/13 10:00,0,0.3,0,9.2,0,8.2,7.2,10.1,87,1020.9
1/8/13 11:00,0,0,0,9,0,7.9,6.6,9.8,85,1021.4
1/8/13 12:00,0,0,0,9.1,0,7.9,6.4,9.6,83,1021.9
1/8/13 13:00,0,0,0,9.2,0,7.7,6,9.4,80,1022.2
1/8/13 14:00,0,0,0,8.8,0,7.4,5.7,9.2,80,1022.2
1/8/13 15:00,0,0,0,8.3,0,6.8,4.9,8.6,79,1022.5
1/8/13 16:00,0,0,0,7.6,0,6.3,4.6,8.5,81,1023.1
1/8/13 17:00,0,0,0,6.2,0,5.2,3.9,8,84,1023.6
1/8/13 18:00,0,0,0,4.8,0,4.1,3.1,7.7,88,1024
1/8/13 19:00,0,0,0,4.3,0,3.7,2.9,7.5,91,1024.5
1/8/13 20:00,0,0,0,4.7,0,4.1,3.3,7.7,90,1024.7
1/8/13 21:00,0,0,0,3.8,0,3.3,2.5,7.3,91,1025
1/8/13 22:00,0,0,0,2.6,0,2.2,1.4,6.8,91,1025.2
1/8/13 23:00,0,0,0,2.3,0,1.9,1.3,6.7,93,1025.4
1/9/13 00:00,0,0,0,1.2,0,0.9,0.2,6.2,92,1025
1/9/13 01:00,0,0,0,0.8,0,0.4,-0.2,6,93,1024.5
1/9/13 02:00,0,0,0,0.3,0,0,-0.5,5.9,94,1024.5
1/9/13 03:00,0,0,0,0.6,0,0.3,-0.2,6,94,1024.4
1/9/13 04:00,0,0,0,0.2,0,0,-0.5,5.9,94,1024.3
1/9/13 05:00,0,0,0,-0.6,0,-0.9,-1.5,5.5,93,1024.2
1/9/13 06:00,0,0,0,-1.1,0,-1.4,-2,5.3,93,1023.9
1/9/13 07:00,0,0,0,-1.3,0,-1.5,-2.1,5.2,94,1023.9
1/9/13 08:00,0,0,0,-1.6,0,-1.9,-2.5,5.1,93,1024.3
1/9/13 09:00,0,0,0,-1.7,0,-2,-2.6,5,93,1024.4
1/9/13 10:00,0,0,0,-1,0,-1.3,-1.8,5.4,94,1024
1/9/13 11:00,0,0,0,1.4,0,1.1,0.6,6.4,94,1023.6
1/9/13 12:00,0,0,0,3.6,0,2.9,1.7,6.9,87,1022.9
1/9/13 13:00,0,0,0,5.1,0,3.9,2.3,7.2,82,1022.2
1/9/13 14:00,0,0,0,5.3,0,3.7,1.3,6.7,75,1021.7
1/9/13 15:00,0,0,0,5.2,0,3.7,1.4,6.8,76,1021.2
1/9/13 16:00,0,0,0,3.9,0,2.9,1.4,6.7,83,1021.3
1/9/13 17:00,0,0,0,2,0,1.4,0.3,6.3,88,1021.2
1/9/13 18:00,0,0,0,1.4,0,0.9,-0.1,6.1,89,1021
1/9/13 19:00,0,0,0,1,0,0.7,0.1,6.1,93,1020.8
1/9/13 20:00,0,0,0,-0.6,0,-1,-1.8,5.4,91,1020.4
1/9/13 21:00,0,0,0,-0.4,0,-0.7,-1.3,5.6,93,1019.7
1/9/13 22:00,0,0,0,0.1,0,-0.2,-0.6,5.8,94,1019.1
1/9/13 23:00,0,0,0,1.4,0,1,0.3,6.2,92,1018.6
1/10/13 00:00,0,0,0,2.3,0,1.7,0.7,6.4,89,1018.2
1/10/13 01:00,0,0,0,1.3,0,0.7,-0.2,6,89,1017.7
1/10/13 02:00,0,0,0,-0.7,0,-1.1,-2,5.3,91,1017.5
1/10/13 03:00,0,0,0,-1.4,0,-1.8,-2.5,5.1,92,1016.8
1/10/13 04:00,0,0,0,-1.9,0,-2.2,-2.9,4.9,92,1016.4
1/10/13 05:00,0,0,0,-1.4,0,-1.7,-2.3,5.2,93,1015.4
1/10/13 06:00,0,0,0,0.2,0,-0.1,-0.7,5.8,94,1015
1/10/13 07:00,0,0,0,2.1,0,1.8,1.2,6.6,93,1014.2
1/10/13 08:00,0,0,0,1.1,0,0.7,0.1,6.1,93,1014.4
1/10/13 09:00,0,0,0,1.1,0,0.9,0.4,6.3,94,1014.4
1/10/13 10:00,0,0.1,0,3.5,0,3.2,2.7,7.4,94,1014.3
1/10/13 11:00,0,0.2,0,5.1,0,4.7,4,8.1,92,1014.4
1/10/13 12:00,0,0.7,0,5.6,0,5.1,4.5,8.4,92,1013.9
1/10/13 13:00,0,0.4,0,5.8,0,5.4,4.7,8.6,92,1013.7
1/10/13 14:00,0,0.1,0,6.3,0,5.8,5.1,8.8,92,1013.7
1/10/13 15:00,0,0,0,6.5,0,5.9,5.2,8.8,91,1013.9
1/10/13 16:00,0,0,0,6.3,0,5.6,4.6,8.5,88,1014.1
1/10/13 17:00,0,0,0,5.7,0,5,4.1,8.2,89,1014.6
1/10/13 18:00,0,0,0,5.5,0,4.4,2.9,7.6,83,1015
1/10/13 19:00,0,0,0,5.1,0,4,2.3,7.2,82,1015.3
1/10/13 20:00,0,0,0,4.7,0,3.6,2,7.1,82,1015.9
1/10/13 21:00,0,0,0,4.1,0,3.2,1.7,6.9,84,1016.7
1/10/13 22:00,0,0.1,0,2.9,0,2.2,1,6.5,87,1017.2
1/10/13 23:00,0,0,0,2.4,0,1.8,0.7,6.4,88,1017.5
1/11/13 00:00,0,0,0,2.3,0,1.7,0.8,6.5,89,1017.5
1/11/13 01:00,0,0,0,1.6,0,1,0.2,6.2,90,1017.7
1/11/13 02:00,0,0,0,1.1,0,0.7,-0.1,6.1,91,1017.9
1/11/13 03:00,0,0,0,0.6,0,0.2,-0.5,5.9,92,1017.9
1/11/13 04:00,0,0,0,0.2,0,-0.2,-0.9,5.7,92,1017.6
1/11/13 05:00,0,0,0,-0.5,0,-0.8,-1.4,5.5,93,1017.5
1/11/13 06:00,0,0,0,-1,0,-1.3,-1.9,5.3,93,1017.3
1/11/13 07:00,0,0,0,-0.7,0,-1,-1.6,5.4,93,1016.9
1/11/13 08:00,0,0,0,-0.3,0,-0.5,-1.1,5.7,94,1017.1
1/11/13 09:00,0,0,0,0.9,0,0.6,0,6.1,93,1017
1/11/13 10:00,0,0,0,2.2,0,1.8,1.2,6.7,93,1016.3
1/11/13 11:00,0,0,0,5.2,0,4.4,3.2,7.7,87,1015.7
1/11/13 12:00,0,0,0,6.5,0,5.3,3.7,7.9,82,1015
1/11/13 13:00,0,0,0,7,0,5.9,4.3,8.3,83,1014.3
1/11/13 14:00,0,0,0,7.6,0,6.4,4.8,8.6,82,1013.4
1/11/13 15:00,0,0,0,7.9,0,6.7,5.3,8.9,83,1012.8
1/11/13 16:00,0,0,0,7.7,0,6.7,5.4,8.9,85,1012.2
1/11/13 17:00,0,0,0,6.5,0,5.8,4.8,8.6,89,1011.8
1/11/13 18:00,0,0,0,6.3,0,5.6,4.7,8.5,89,1011.5
1/11/13 19:00,0,0,0,4.7,0,4.2,3.5,7.9,92,1011.1
1/11/13 20:00,0,0,0,4.4,0,3.9,3.2,7.7,91,1010.7
1/11/13 21:00,0,0,0,4.9,0,4.4,3.7,7.9,91,1010.4
1/11/13 22:00,0,0,0,5.8,0,5.2,4.3,8.3,90,1010.1
1/11/13 23:00,0,0,0,4.5,0,4.2,3.6,7.9,94,1009.6
1/12/13 00:00,0,0,0,5,0,4.5,3.7,8,91,1009.4
1/12/13 01:00,0,0.1,0,5.2,0,4.7,4,8.2,92,1009.1
1/12/13 02:00,0,0,0,6.1,0,5.4,4.6,8.5,90,1008.7
1/12/13 03:00,0,0,0,7.2,0,6.4,5.5,9,88,1008.6
1/12/13 04:00,0,0,0,7.3,0,6.3,5.1,8.8,86,1008.5
1/12/13 05:00,0,0,0,7.2,0,6,4.6,8.5,83,1008.3
1/12/13 06:00,0,0,0,7.2,0,6,4.3,8.3,81,1008.3
1/12/13 07:00,0,0,0,7,0,5.9,4.6,8.5,84,1008.6
1/12/13 08:00,0,0,0,7.1,0,5.8,4,8.1,80,1009
1/12/13 09:00,0,0,0,6.9,0,5.6,4,8.1,82,1009.5
1/12/13 10:00,0,0,0,6.7,0,5.6,4,8.1,82,1010.1
1/12/13 11:00,0,0,0,6.7,0,5.5,4,8.1,82,1010.8
1/12/13 12:00,0,0,0,6.4,0,5.1,3.2,7.7,80,1011
1/12/13 13:00,0,0,0,6.8,0,5.2,3,7.6,76,1011.3
1/12/13 14:00,0,0,0,6.6,0,5.1,3.1,7.6,78,1011.7
1/12/13 15:00,0,0,0,6.6,0,5.1,2.9,7.5,76,1012.4
1/12/13 16:00,0,0,0,5.8,0,4.2,2,7.1,76,1013.3
1/12/13 17:00,0,0,0,5.6,0,4,1.4,6.8,74,1014.2
1/12/13 18:00,0,0,0,5.6,0,3.6,0.5,6.3,69,1014.9
1/12/13 19:00,0,0,0,4.7,0,2.6,-0.8,5.7,67,1015.7
1/12/13 20:00,0,0,0,4.5,0,2.3,-1.6,5.4,64,1016.4
1/12/13 21:00,0,0,0,4.1,0,2,-1.7,5.4,65,1017.3
1/12/13 22:00,0,0,0,4.4,0,2.3,-1.3,5.6,66,1017.9
1/12/13 23:00,0,0,0,4,0,2,-1.6,5.4,66,1018.4
1/13/13 00:00,0,0,0,3.5,0,1.6,-2,5.3,67,1018.4
1/13/13 01:00,0,0,0,2.5,0,1,-1.6,5.4,74,1018.8
1/13/13 02:00,0,0,0,1.3,0,0.2,-1.8,5.3,79,1019.7
1/13/13 03:00,0,0,0,-0.2,0,-1,-2.5,5.1,84,1019.9
1/13/13 04:00,0,0,0,-1.2,0,-1.7,-2.9,4.9,88,1020.1
1/13/13 05:00,0,0,0,-1.6,0,-2,-3,4.9,90,1020.5
1/13/13 06:00,0,0,0,-0.6,0,-1.1,-2.2,5.2,89,1020.9
1/13/13 07:00,0,0,0,-0.5,0,-1,-2.1,5.3,89,1020.9
1/13/13 08:00,0,0,0,-1.1,0,-1.6,-2.7,5,88,1021
1/13/13 09:00,0,0,0,-0.9,0,-1.4,-2.4,5.1,89,1021.5
1/13/13 10:00,0,0,0,0.3,0,-0.3,-1.6,5.4,87,1021.7
1/13/13 11:00,0,0,0,1.6,0,0.6,-1,5.7,82,1021.9
1/13/13 12:00,0,0.2,0,2.4,0,1.5,0.1,6.2,85,1021.3
1/13/13 13:00,0,0.8,0,3,0,2.3,1,6.6,86,1020.9
1/13/13 14:00,0,0.2,0,2.9,0,2.3,1.4,6.7,89,1020.6
1/13/13 15:00,0,0,0,3.1,0,2.5,1.6,6.9,89,1020.6
1/13/13 16:00,0,0,0,3.1,0,2.5,1.8,6.9,91,1020.8
1/13/13 17:00,0,0,0,2.9,0,2.5,1.8,7,92,1021
1/13/13 18:00,0,0,0,3,0,2.6,2,7.1,93,1021
1/13/13 19:00,0,0,0,3.2,0,2.8,2.2,7.2,93,1020.6
1/13/13 20:00,0,0,0,3.3,0,2.9,2.3,7.2,93,1020.4
1/13/13 21:00,0,0,0,3,0,2.6,2,7.1,92,1020.3
1/13/13 22:00,0,0,0,2.6,0,2.2,1.6,6.9,93,1020.1
1/13/13 23:00,0,0,0,2.8,0,2.4,1.8,6.9,92,1019.5
1/14/13 00:00,0,0,0,3.3,0,2.7,1.9,7,90,1019.4
1/14/13 01:00,0,0,0,3.7,0,3,2,7.1,88,1018.7
1/14/13 02:00,0,0,0,3.9,0,3.2,2.2,7.2,88,1017.9
1/14/13 03:00,0,0,0,4.6,0,3.9,2.8,7.5,88,1017.1
1/14/13 04:00,0,0.2,0,5,0,4.3,3.3,7.7,89,1016.1
1/14/13 05:00,0,0.8,0,4.7,0,4.2,3.4,7.8,90,1015.1
1/14/13 06:00,0,0,0,4.6,0,4,3.1,7.6,90,1014.5
1/14/13 07:00,0,0,0,4.7,0,4.1,3.1,7.6,89,1014.5
1/14/13 08:00,0,0,0,4.1,0,3.5,2.5,7.3,89,1014.7
1/14/13 09:00,0,0.1,0,4.2,0,3.5,2.4,7.3,88,1014.8
1/14/13 10:00,0,0,0,4.1,0,3.5,2.5,7.3,89,1014.7
1/14/13 11:00,0,0,0,4.8,0,3.8,2.3,7.2,83,1014.3
1/14/13 12:00,0,0,0,5.3,0,4.2,2.6,7.4,82,1013.6
1/14/13 13:00,0,0,0,5.7,0,4.2,1.9,7,77,1012.9
1/14/13 14:00,0,0,0,5.1,0,3.5,0.9,6.5,73,1012.6
1/14/13 15:00,0,0.8,0,3.5,0,2.4,0.6,6.4,81,1012.8
1/14/13 16:00,0,0.1,0,4.2,0,2.8,0.5,6.3,76,1012.6
1/14/13 17:00,0,0,0,2.8,0,1.7,-0.2,6,80,1012.7
1/14/13 18:00,0,0,0,2.1,0,1.2,-0.3,6,83,1012.7
1/14/13 19:00,0,0,0,1.7,0,0.9,-0.4,5.9,86,1012.8
1/14/13 20:00,0,0,0,1.5,0,0.8,-0.4,5.9,86,1012.6
1/14/13 21:00,0,0,0,1.9,0,1,-0.5,5.9,84,1012.5
1/14/13 22:00,0,0,0,1.4,0,0.7,-0.6,5.8,86,1012.7
1/14/13 23:00,0,0,0,1.7,0,0.9,-0.3,6,86,1013.1
1/15/13 00:00,0,0,0,0.7,0,0.1,-0.9,5.7,89,1013.5
1/15/13 01:00,0,0,0,0.5,0,0,-1,5.7,90,1013.6
1/15/13 02:00,0,0,0,0.6,0,0,-1.1,5.6,88,1013.7
1/15/13 03:00,0,0,0,0.2,0,-0.4,-1.4,5.5,88,1014
1/15/13 04:00,0,0,0,0.2,0,-0.4,-1.6,5.4,88,1013.8
1/15/13 05:00,0,0,0,-0.1,0,-0.7,-1.8,5.4,88,1013.7
1/15/13 06:00,0,0,0,-0.4,0,-0.9,-1.9,5.3,89,1013.7
1/15/13 07:00,0,0,0,-0.6,0,-1.1,-2.1,5.2,89,1013.9
1/15/13 08:00,0,0,0,-0.2,0,-0.7,-1.6,5.4,89,1014
